Designator,Mid X,Mid Y,Rotation,Layer
C536,117.2353,-86.5,0.0,top
C537,123.2353,-86.5,0.0,top
C538,129.2353,-86.5,0.0,top
C539,135.2353,-86.5,0.0,top
C540,141.2353,-86.5,0.0,top
C541,147.2353,-86.5,0.0,top
C542,153.2353,-86.5,0.0,top
C543,159.2353,-86.5,0.0,top
C544,165.2353,-86.5,0.0,top
C545,129.08,-81.8,180.0,top
C546,79.22,-76.6,180.0,top
C547,40.72,-31.4,180.0,top
C548,18.54,-49.019332,180.0,top
C6,19.299995,-63.924999,270.0,top
C62,39.7,-64.9,0.0,top
C63,39.9,-66.8,180.0,top
C64,42.23458,-62.736775,270.0,top
C65,21.4,-58.6,0.0,top
C7,29.621128,-72.704184,90.0,top
C8,26.335739,-75.383882,180.0,top
C82,9.2353,-2.5,0.0,top
C83,15.2353,-2.5,0.0,top
C84,21.2353,-2.5,0.0,top
C85,27.2353,-2.5,0.0,top
C86,33.2353,-2.5,0.0,top
C87,39.2353,-2.5,0.0,top
C88,45.2353,-2.5,0.0,top
C89,51.2353,-2.5,0.0,top
C9,33.0,-78.4,170.0,top
C90,57.2353,-2.5,0.0,top
C91,63.2353,-2.5,0.0,top
C92,69.2353,-2.5,0.0,top
C93,75.2353,-2.5,0.0,top
C94,81.2353,-2.5,0.0,top
C95,87.2353,-2.5,0.0,top
C96,93.2353,-2.5,0.0,top
C97,99.2353,-2.5,0.0,top
C98,105.2353,-2.5,0.0,top
C99,111.2353,-2.5,0.0,top
CARD1,245.499999,-67.450002,90.0,top
D5,10.05,-60.699999,90.0,top
F1,14.6,-58.6,0.0,top
FB1,27.0,-63.8,0.0,top
FLASH1,4.2,-72.9,0.0,top
J1,38.102823788346164,-82.38213127264423,260.0,top
L1,12.9,-65.2,0.0,top
LED1,249.669999,-3.4,0.0,top
LED10,57.2353,-4.6,180.0,top
LED100,111.2353,-34.6,180.0,top
LED101,75.2353,-34.6,180.0,top
LED102,51.2353,-34.6,180.0,top
LED103,15.2353,-34.6,180.0,top
LED104,129.2353,-34.6,180.0,top
LED105,27.2353,-40.6,180.0,top
LED106,105.2353,-34.6,180.0,top
LED107,69.2353,-34.6,180.0,top
LED108,45.2353,-34.6,180.0,top
LED109,9.2353,-34.6,180.0,top
LED11,63.2353,-4.6,180.0,top
LED110,123.2353,-34.6,180.0,top
LED111,33.2353,-40.6,180.0,top
LED112,87.2353,-34.6,180.0,top
LED113,63.2353,-34.6,180.0,top
LED114,33.2353,-34.6,180.0,top
